# Sena Firmware Device List (Parsed from Official Firmware List)
# Format: DEVICE | MAX_VERSION | LATEST_URL
#
M10|1.0|https://firmware.sena.com/senabluetoothmanager/M10-v1.0.3.img
Momentum|1.0|https://firmware.sena.com/senabluetoothmanager/Momentum-v1.0.9.img
Momentum_EVO|2.1|https://firmware.sena.com/senabluetoothmanager/Momentum-EVO-v2.1.2.img
Momentum_INC|1.0|https://firmware.sena.com/senabluetoothmanager/Momentum-INC-v1.0.7.img
Momentum_INCP|1.0|https://firmware.sena.com/senabluetoothmanager/Momentum-INC-Pro-v1.0.4.img
Momentum_Lite|2.0|https://firmware.sena.com/senabluetoothmanager/Momentum-Lite-v2.0.3.img
Momentum_Pro|1.0|https://firmware.sena.com/senabluetoothmanager/Momentum-Pro-v1.0.6.img
OUTLANDER|1.0|https://firmware.sena.com/senabluetoothmanager/OUTLANDER-v1.0.2-build1.img
OUTRUSH|1.1|https://firmware.sena.com/senabluetoothmanager/OutRush-v1.1.img
OUTSTAR|1.1|https://firmware.sena.com/senabluetoothmanager/OutStar-v1.1.img
PHANTOMANCREV2|1.2|https://firmware.sena.com/senabluetoothmanager/PHANTOM_ANC_REV2-v1.2.4-build0.img
PHANTOMREV2|1.2|https://firmware.sena.com/senabluetoothmanager/PHANTOM_REV2-v1.2.4-build0.img
PHANTOMXB|1.2|https://firmware.sena.com/senabluetoothmanager/PHANTOM_XB-v1.2.4-build0.img
PHANTOMXBREV2|1.2|https://firmware.sena.com/senabluetoothmanager/PHANTOM_XB_REV2-v1.2.4-build0.img
PolarisSlingshot|1.1|https://firmware.sena.com/senabluetoothmanager/Polaris_Slingshot-v1.1.2.img
PRISM|1.0.0|https://firmware.sena.com/senabluetoothmanager/PRISM-v1.0.0.0.img
QCCA10|1.1|https://firmware.sena.com/senabluetoothmanager/Parani_A10-v1.1.3-build0.img
QCCA20|1.1|https://firmware.sena.com/senabluetoothmanager/Parani_A20-v1.1.3-build0.img
QCCDWO1LITE|1.0|https://firmware.sena.com/senabluetoothmanager/DWO1-Lite-v1.0.img
QCCM10|2.1|https://firmware.sena.com/senabluetoothmanager/Parani_M10-v2.1.3-build0.img
QCCSMH5|3.0|https://firmware.sena.com/senabluetoothmanager/SMH5-v3.0.1-build1.img
QCCSMH5_MULTICOMV2|2.0|https://firmware.sena.com/senabluetoothmanager/SMH5-MultiCom-v2.0.img
QCCSMH5FM|3.0|https://firmware.sena.com/senabluetoothmanager/SMH5-FM-v3.0.1-build1.img
R1|1.5|https://firmware.sena.com/senabluetoothmanager/R1-v1.5.img
RE50SV2|2.7|https://firmware.sena.com/senabluetoothmanager/RE_50S-v2.7-build2.img
RT1|1.2|https://firmware.sena.com/senabluetoothmanager/SPIDER_RT1-v1.2.2-build1.img
Savage|1.2|https://firmware.sena.com/senabluetoothmanager/Savage-v1.2.2.img
SC10U|2.1|https://firmware.sena.com/senabluetoothmanager/SC10U-v2.1-build1.img
SC1A|2.1|https://firmware.sena.com/senabluetoothmanager/SC1A-v2.1.1-build2.img
SC1M|1.1|https://firmware.sena.com/senabluetoothmanager/SC1M-v1.1-build1.img
SC1S|2.1|https://firmware.sena.com/senabluetoothmanager/SC1S-v2.1-build0.img
SF1|2.0|https://firmware.sena.com/senabluetoothmanager/SF1-v2.0.5.img
SF2|1.2|https://firmware.sena.com/senabluetoothmanager/SF2-v1.2.1.img
SF4|1.1|https://firmware.sena.com/senabluetoothmanager/SF4-v1.1.5.img
SFR|1.1|https://firmware.sena.com/senabluetoothmanager/SFR-v1.1.1.img
SMH10|5.1|https://firmware.sena.com/senabluetoothmanager/SMH10-v5.1.2-build1.img
SMH10R|5.1|https://firmware.sena.com/senabluetoothmanager/SMH10R-v5.1.2.img
SMH3|1.0|https://firmware.sena.com/senabluetoothmanager/SMH3-v1.0.img
SMH5|2.2|https://firmware.sena.com/senabluetoothmanager/SMH5-v2.2.3.img
SMH5_MultiCom|1.0|https://firmware.sena.com/senabluetoothmanager/SMH5-MultiCom-v1.0.img
SMH5-FM|2.2|https://firmware.sena.com/senabluetoothmanager/SMH5-FM-v2.2.2.img
SPECTER|1.0|https://firmware.sena.com/senabluetoothmanager/SPECTER-v1.0.1-build1.img
SPH10|5.2|https://firmware.sena.com/senabluetoothmanager/SPH10-v5.2.1-build1.img
SPH10H|5.0|https://firmware.sena.com/senabluetoothmanager/SPH10H-v5.0.img
